TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
1.0,0.1,31.0,224.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
2.0,0.2,35.0,227.0,262.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
3.0,0.30000000000000004,37.0,221.0,258.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
4.0,0.4,37.0,218.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
5.0,0.5,38.0,217.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
6.0,0.6000000000000001,40.0,217.0,257.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
7.0,0.7000000000000001,43.0,220.0,263.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
8.0,0.8,44.0,219.0,263.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
9.0,0.9,43.0,221.0,264.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
10.0,1.0,43.0,225.0,268.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
11.0,1.1,45.0,223.0,268.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
12.0,1.2000000000000002,45.0,222.0,267.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
13.0,1.3,46.0,228.0,274.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
14.0,1.4000000000000001,49.0,226.0,275.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
15.0,1.5,47.0,224.0,271.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
16.0,1.6,50.0,227.0,277.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
17.0,1.7000000000000002,49.0,227.0,276.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
18.0,1.8,54.0,227.0,281.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
19.0,1.9000000000000001,55.0,238.0,293.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
20.0,2.0,55.0,241.0,296.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
21.0,2.1,55.0,241.0,296.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
22.0,2.2,57.0,243.0,300.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
23.0,2.3000000000000003,63.0,249.0,312.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
24.0,2.4000000000000004,65.0,247.0,312.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
25.0,2.5,70.0,242.0,312.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
26.0,2.6,72.0,245.0,317.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
27.0,2.7,78.0,242.0,320.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
28.0,2.8000000000000003,86.0,247.0,333.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
29.0,2.9000000000000004,90.0,242.0,332.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
30.0,3.0,92.0,238.0,330.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
31.0,3.1,93.0,241.0,334.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
32.0,3.2,90.0,237.0,327.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
33.0,3.3000000000000003,94.0,235.0,329.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
34.0,3.4000000000000004,93.0,229.0,322.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
35.0,3.5,95.0,234.0,329.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
36.0,3.6,96.0,234.0,330.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
37.0,3.7,103.0,232.0,335.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
38.0,3.8000000000000003,102.0,228.0,330.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
39.0,3.9000000000000004,106.0,229.0,335.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
40.0,4.0,108.0,233.0,341.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
41.0,4.1000000000000005,114.0,232.0,346.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
42.0,4.2,118.0,233.0,351.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
43.0,4.3,123.0,236.0,359.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
44.0,4.4,125.0,232.0,357.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
45.0,4.5,131.0,238.0,369.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
46.0,4.6000000000000005,132.0,241.0,373.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
47.0,4.7,139.0,241.0,380.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
48.0,4.800000000000001,141.0,243.0,384.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
49.0,4.9,147.0,244.0,391.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
50.0,5.0,150.0,248.0,398.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
51.0,5.1000000000000005,163.0,245.0,408.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
52.0,5.2,165.0,241.0,406.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
53.0,5.300000000000001,169.0,243.0,412.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
54.0,5.4,170.0,246.0,416.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
55.0,5.5,191.0,244.0,435.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
56.0,5.6000000000000005,198.0,246.0,444.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
57.0,5.7,212.0,248.0,460.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
58.0,5.800000000000001,219.0,248.0,467.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
59.0,5.9,228.0,259.0,487.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
60.0,6.0,225.0,257.0,482.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
61.0,6.1000000000000005,236.0,259.0,495.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
62.0,6.2,242.0,259.0,501.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
63.0,6.300000000000001,247.0,263.0,510.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
64.0,6.4,254.0,266.0,520.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
65.0,6.5,256.0,263.0,519.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
66.0,6.6000000000000005,259.0,268.0,527.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
67.0,6.7,262.0,276.0,538.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
68.0,6.800000000000001,262.0,280.0,542.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
69.0,6.9,278.0,285.0,563.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
70.0,7.0,285.0,278.0,563.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
71.0,7.1000000000000005,301.0,280.0,581.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
72.0,7.2,301.0,275.0,576.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
73.0,7.300000000000001,301.0,274.0,575.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
74.0,7.4,312.0,273.0,585.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
75.0,7.5,313.0,274.0,587.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
76.0,7.6000000000000005,320.0,275.0,595.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
77.0,7.7,328.0,276.0,604.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
78.0,7.800000000000001,345.0,279.0,624.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
79.0,7.9,365.0,277.0,642.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
80.0,8.0,372.0,275.0,647.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
81.0,8.1,387.0,270.0,657.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
82.0,8.200000000000001,394.0,271.0,665.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
83.0,8.3,403.0,276.0,679.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
84.0,8.4,404.0,275.0,679.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
85.0,8.5,414.0,276.0,690.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
86.0,8.6,415.0,275.0,690.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
87.0,8.700000000000001,419.0,275.0,694.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
88.0,8.8,432.0,278.0,710.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
89.0,8.9,439.0,274.0,713.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
90.0,9.0,450.0,266.0,716.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
91.0,9.1,458.0,266.0,724.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
92.0,9.200000000000001,457.0,260.0,717.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
93.0,9.3,464.0,253.0,717.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
94.0,9.4,481.0,251.0,732.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
95.0,9.5,492.0,250.0,742.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
96.0,9.600000000000001,499.0,257.0,756.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
97.0,9.700000000000001,518.0,256.0,774.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
98.0,9.8,524.0,248.0,772.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
99.0,9.9,531.0,239.0,770.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
100.0,10.0,543.0,241.0,784.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
101.0,10.100000000000001,525.0,242.0,767.0,1.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
102.0,10.200000000000001,504.0,242.0,746.0,1.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,18.0,0.0,0.88
