TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
1.0,0.1,30.0,221.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
2.0,0.2,29.0,221.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
3.0,0.30000000000000004,29.0,215.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
4.0,0.4,29.0,211.0,240.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
5.0,0.5,30.0,211.0,241.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
6.0,0.6000000000000001,31.0,209.0,240.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
7.0,0.7000000000000001,30.0,212.0,242.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
8.0,0.8,31.0,211.0,242.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
9.0,0.9,30.0,208.0,238.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
10.0,1.0,31.0,198.0,229.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
11.0,1.1,33.0,196.0,229.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
12.0,1.2000000000000002,33.0,193.0,226.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
13.0,1.3,32.0,190.0,222.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
14.0,1.4000000000000001,34.0,188.0,222.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
15.0,1.5,35.0,190.0,225.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
16.0,1.6,37.0,193.0,230.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
17.0,1.7000000000000002,40.0,193.0,233.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
18.0,1.8,44.0,189.0,233.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
19.0,1.9000000000000001,48.0,189.0,237.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
20.0,2.0,50.0,191.0,241.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
21.0,2.1,57.0,189.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
22.0,2.2,60.0,192.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
23.0,2.3000000000000003,58.0,191.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
24.0,2.4000000000000004,58.0,191.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
25.0,2.5,58.0,194.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
26.0,2.6,59.0,195.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
27.0,2.7,59.0,194.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
28.0,2.8000000000000003,61.0,194.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
29.0,2.9000000000000004,66.0,200.0,266.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
30.0,3.0,68.0,205.0,273.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
31.0,3.1,72.0,207.0,279.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
32.0,3.2,74.0,205.0,279.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
33.0,3.3000000000000003,75.0,208.0,283.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
34.0,3.4000000000000004,86.0,210.0,296.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
35.0,3.5,89.0,213.0,302.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
36.0,3.6,94.0,213.0,307.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
37.0,3.7,90.0,215.0,305.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,15.0,0.0,0.88
