TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
1.0,0.1,31.0,222.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
2.0,0.2,29.0,227.0,256.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
3.0,0.30000000000000004,31.0,225.0,256.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
4.0,0.4,32.0,223.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
5.0,0.5,32.0,222.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
6.0,0.6000000000000001,33.0,222.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
7.0,0.7000000000000001,36.0,229.0,265.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
8.0,0.8,38.0,238.0,276.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
9.0,0.9,40.0,244.0,284.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
10.0,1.0,43.0,245.0,288.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
11.0,1.1,43.0,245.0,288.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
12.0,1.2000000000000002,44.0,241.0,285.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
13.0,1.3,46.0,241.0,287.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
14.0,1.4000000000000001,46.0,240.0,286.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
15.0,1.5,49.0,243.0,292.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
16.0,1.6,48.0,237.0,285.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
17.0,1.7000000000000002,48.0,235.0,283.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,11.0,0.0,0.88
