TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
1.0,0.1,31.0,212.0,243.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
2.0,0.2,32.0,210.0,242.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
3.0,0.30000000000000004,34.0,210.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
4.0,0.4,33.0,213.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
5.0,0.5,35.0,210.0,245.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
6.0,0.6000000000000001,34.0,213.0,247.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
7.0,0.7000000000000001,37.0,207.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
8.0,0.8,39.0,207.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
9.0,0.9,41.0,202.0,243.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
10.0,1.0,39.0,201.0,240.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
11.0,1.1,37.0,198.0,235.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,10.0,0.0,0.88
