TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
1.0,0.1,31.0,221.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
2.0,0.2,31.0,218.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
3.0,0.30000000000000004,31.0,225.0,256.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
4.0,0.4,31.0,220.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
5.0,0.5,32.0,220.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
6.0,0.6000000000000001,33.0,225.0,258.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
7.0,0.7000000000000001,33.0,228.0,261.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
8.0,0.8,32.0,225.0,257.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
9.0,0.9,30.0,223.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
10.0,1.0,31.0,214.0,245.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
11.0,1.1,32.0,210.0,242.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
12.0,1.2000000000000002,36.0,208.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
13.0,1.3,35.0,207.0,242.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
14.0,1.4000000000000001,34.0,201.0,235.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
15.0,1.5,35.0,202.0,237.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
16.0,1.6,33.0,203.0,236.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
17.0,1.7000000000000002,31.0,205.0,236.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
18.0,1.8,34.0,211.0,245.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,19.0,0.0,0.88
