TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
1.0,0.1,32.0,218.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
2.0,0.2,33.0,217.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
3.0,0.30000000000000004,33.0,214.0,247.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
4.0,0.4,32.0,206.0,238.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
5.0,0.5,33.0,212.0,245.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
6.0,0.6000000000000001,34.0,216.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
7.0,0.7000000000000001,37.0,212.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
8.0,0.8,34.0,216.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
9.0,0.9,36.0,216.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
10.0,1.0,39.0,214.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
11.0,1.1,40.0,208.0,248.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
12.0,1.2000000000000002,40.0,204.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
13.0,1.3,40.0,204.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
14.0,1.4000000000000001,43.0,208.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
15.0,1.5,46.0,208.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
16.0,1.6,46.0,211.0,257.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
17.0,1.7000000000000002,45.0,208.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
18.0,1.8,45.0,201.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
19.0,1.9000000000000001,49.0,200.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
20.0,2.0,53.0,204.0,257.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,8.0,0.0,0.88
