TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
1.0,0.1,31.0,219.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
2.0,0.2,30.0,218.0,248.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
3.0,0.30000000000000004,30.0,223.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
4.0,0.4,31.0,223.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
5.0,0.5,31.0,223.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
6.0,0.6000000000000001,31.0,223.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
7.0,0.7000000000000001,33.0,219.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
8.0,0.8,34.0,229.0,263.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
9.0,0.9,37.0,233.0,270.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
10.0,1.0,37.0,239.0,276.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
11.0,1.1,37.0,241.0,278.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
12.0,1.2000000000000002,37.0,242.0,279.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
13.0,1.3,35.0,240.0,275.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
14.0,1.4000000000000001,32.0,243.0,275.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
15.0,1.5,31.0,242.0,273.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
16.0,1.6,30.0,244.0,274.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
17.0,1.7000000000000002,27.0,240.0,267.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
18.0,1.8,27.0,240.0,267.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
19.0,1.9000000000000001,26.0,241.0,267.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
20.0,2.0,27.0,243.0,270.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
21.0,2.1,29.0,239.0,268.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
22.0,2.2,30.0,242.0,272.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
23.0,2.3000000000000003,30.0,248.0,278.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
24.0,2.4000000000000004,31.0,247.0,278.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
25.0,2.5,32.0,242.0,274.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,7.0,0.0,0.88
