TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
1.0,0.1,32.0,217.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
2.0,0.2,33.0,217.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
3.0,0.30000000000000004,33.0,219.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
4.0,0.4,34.0,212.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
5.0,0.5,37.0,207.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
6.0,0.6000000000000001,37.0,208.0,245.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
7.0,0.7000000000000001,40.0,206.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
8.0,0.8,43.0,209.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
9.0,0.9,43.0,211.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
10.0,1.0,42.0,209.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
11.0,1.1,40.0,211.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
12.0,1.2000000000000002,41.0,212.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
13.0,1.3,38.0,217.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
14.0,1.4000000000000001,35.0,219.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
15.0,1.5,36.0,231.0,267.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
16.0,1.6,38.0,233.0,271.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
17.0,1.7000000000000002,40.0,225.0,265.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
18.0,1.8,41.0,229.0,270.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
19.0,1.9000000000000001,42.0,233.0,275.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
20.0,2.0,43.0,236.0,279.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
21.0,2.1,47.0,235.0,282.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
22.0,2.2,48.0,238.0,286.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
23.0,2.3000000000000003,47.0,234.0,281.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
24.0,2.4000000000000004,42.0,238.0,280.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
25.0,2.5,40.0,236.0,276.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
26.0,2.6,39.0,234.0,273.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
27.0,2.7,43.0,235.0,278.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
28.0,2.8000000000000003,46.0,228.0,274.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
29.0,2.9000000000000004,50.0,228.0,278.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
30.0,3.0,53.0,232.0,285.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
31.0,3.1,53.0,238.0,291.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
32.0,3.2,57.0,236.0,293.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
33.0,3.3000000000000003,61.0,233.0,294.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,3.0,0.0,0.88
