TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
1.0,0.1,31.0,220.0,251.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
2.0,0.2,33.0,222.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
3.0,0.30000000000000004,33.0,221.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
4.0,0.4,33.0,215.0,248.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
5.0,0.5,34.0,216.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
6.0,0.6000000000000001,37.0,218.0,255.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
7.0,0.7000000000000001,37.0,213.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
8.0,0.8,38.0,214.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
9.0,0.9,38.0,224.0,262.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
10.0,1.0,40.0,222.0,262.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
11.0,1.1,40.0,221.0,261.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
12.0,1.2000000000000002,40.0,217.0,257.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
13.0,1.3,42.0,218.0,260.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
14.0,1.4000000000000001,42.0,222.0,264.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
15.0,1.5,45.0,218.0,263.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
16.0,1.6,45.0,221.0,266.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
17.0,1.7000000000000002,47.0,221.0,268.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
18.0,1.8,51.0,219.0,270.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
19.0,1.9000000000000001,53.0,218.0,271.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
20.0,2.0,56.0,220.0,276.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
21.0,2.1,57.0,222.0,279.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,5.0,0.0,0.88
