TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD_div_S,dD_div_R,dt,ReplicateId,InitSize,RFrac
0.0,0.0,30.0,220.0,250.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
1.0,0.1,30.0,222.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
2.0,0.2,30.0,216.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
3.0,0.30000000000000004,31.0,213.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
4.0,0.4,31.0,208.0,239.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
5.0,0.5,33.0,211.0,244.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
6.0,0.6000000000000001,34.0,212.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
7.0,0.7000000000000001,33.0,214.0,247.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
8.0,0.8,34.0,219.0,253.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
9.0,0.9,34.0,218.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
10.0,1.0,34.0,220.0,254.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
11.0,1.1,33.0,219.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
12.0,1.2000000000000002,32.0,217.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
13.0,1.3,33.0,209.0,242.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
14.0,1.4000000000000001,34.0,209.0,243.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
15.0,1.5,37.0,209.0,246.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
16.0,1.6,35.0,205.0,240.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
17.0,1.7000000000000002,36.0,207.0,243.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
18.0,1.8,36.0,204.0,240.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
19.0,1.9000000000000001,39.0,208.0,247.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
20.0,2.0,39.0,208.0,247.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
21.0,2.1,43.0,209.0,252.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
22.0,2.2,44.0,205.0,249.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
23.0,2.3000000000000003,46.0,213.0,259.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
24.0,2.4000000000000004,46.0,212.0,258.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
25.0,2.5,47.0,213.0,260.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
26.0,2.6,47.0,214.0,261.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
27.0,2.7,52.0,217.0,269.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
28.0,2.8000000000000003,55.0,215.0,270.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
29.0,2.9000000000000004,56.0,223.0,279.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
30.0,3.0,57.0,225.0,282.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
31.0,3.1,59.0,225.0,284.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
32.0,3.2,60.0,219.0,279.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
33.0,3.3000000000000003,65.0,219.0,284.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
34.0,3.4000000000000004,70.0,220.0,290.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
35.0,3.5,70.0,215.0,285.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
36.0,3.6,72.0,218.0,290.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
37.0,3.7,73.0,220.0,293.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
38.0,3.8000000000000003,74.0,217.0,291.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
39.0,3.9000000000000004,75.0,216.0,291.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
40.0,4.0,76.0,217.0,293.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
41.0,4.1000000000000005,78.0,223.0,301.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
42.0,4.2,80.0,223.0,303.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
43.0,4.3,84.0,220.0,304.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
44.0,4.4,84.0,216.0,300.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
45.0,4.5,88.0,221.0,309.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
46.0,4.6000000000000005,90.0,219.0,309.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
47.0,4.7,90.0,213.0,303.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
48.0,4.800000000000001,93.0,211.0,304.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
49.0,4.9,96.0,218.0,314.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
50.0,5.0,99.0,224.0,323.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
51.0,5.1000000000000005,101.0,221.0,322.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
52.0,5.2,98.0,221.0,319.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
53.0,5.300000000000001,108.0,221.0,329.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
54.0,5.4,109.0,226.0,335.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
55.0,5.5,115.0,225.0,340.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
56.0,5.6000000000000005,121.0,222.0,343.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
57.0,5.7,126.0,218.0,344.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
58.0,5.800000000000001,131.0,220.0,351.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
59.0,5.9,134.0,226.0,360.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
60.0,6.0,140.0,226.0,366.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
61.0,6.1000000000000005,140.0,222.0,362.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
62.0,6.2,143.0,226.0,369.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
63.0,6.300000000000001,147.0,222.0,369.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
64.0,6.4,156.0,222.0,378.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
65.0,6.5,159.0,222.0,381.0,0.0,0.55,0.29,0.0,0.0,0.275,0.275,0.9818181818181818,-0.24137931034482762,0.1,16.0,0.0,0.88
